strategy,min_decile_score,min_alloc_fraction,max_alloc_fraction,w_score,w_price_edge,w_risk_quality,w_range_risk,w_sd_risk,w_vol_risk,w_mom_risk,raw_pred_mean4_cutoff,n_trades,return_pct,max_drawdown_pct,win_rate_pct,mean_trade_ret_pct,std_trade_ret_pct,sharpe_trade,sortino_trade,cvar5_trade_ret_pct,objective_val,avg_alloc_fraction,p95_alloc_fraction,max_alloc_fraction_realized,avg_sizing_signal
cfg_158,0.9,0.08,0.3,0.7,0.15,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,589,3573.0977466442946,-7.121917664526444,60.611205432937176,3.5434013582342945,8.744055281405643,0.40523547075112704,0.9768308970340659,-11.742790000000001,3569.5367878120314,0.18047330896238845,0.2659367121138761,0.27401074376284823,0.45669685891994743
cfg_159,0.9,0.08,0.35,0.7,0.15,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,566,3561.958910397382,-7.001755963020395,60.600706713780916,3.5600249257950525,8.720701522282672,0.40822689742317936,0.9964933103078282,-11.572886206896552,3558.458032415872,0.2045258575409703,0.30822248031733346,0.318104094618041,0.4612068797813715
cfg_086,0.9,0.08,0.3,0.65,0.2,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,589,3480.39318293335,-7.07080975622687,60.611205432937176,3.520564862478777,8.713716231460038,0.40402564978741384,0.9705354220430271,-11.742790000000001,3476.857778055237,0.18246666928033517,0.26611010233645066,0.2745260060267078,0.46575758763788716
cfg_087,0.9,0.08,0.35,0.65,0.2,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,564,3461.1001344993783,-7.023404794343335,60.63829787234043,3.5453253758865237,8.694009117333293,0.4077894706618365,0.9906229689320937,-11.572886206896552,3457.5884321022068,0.20690483131306786,0.3085258311433092,0.31873646194186867,0.47001789375210323
cfg_160,0.9,0.08,0.4,0.7,0.15,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,555,3458.589608563264,-7.332637459254954,60.9009009009009,3.5194775135135132,8.653378061286638,0.4067171789545291,0.9935572371271422,-11.510014285714286,3454.9232898336363,0.2282701640569986,0.3506321418411239,0.36219744547323385,0.46334426267812057
cfg_150,0.9,0.08,0.3,0.7,0.15,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,588,3412.6069589524454,-7.116261727413164,60.544217687074834,3.5475734693877543,8.743045481262621,0.4057594664228412,0.9796665531268985,-11.742790000000001,3409.048828088739,0.18049639208508494,0.26626749147596407,0.27252838617111974,0.4568017822049317
cfg_078,0.9,0.08,0.3,0.65,0.2,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,588,3398.2042814570796,-7.065519609024529,60.544217687074834,3.5192602108843527,8.712371351335127,0.4039382699573571,0.9718478137533049,-11.742790000000001,3394.671521652567,0.18241009132266445,0.2664810647471898,0.27256947547228083,0.4655004151030202
cfg_166,0.9,0.08,0.3,0.7,0.15,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,590,3364.673064077859,-7.128916848397015,60.33898305084746,3.5250886440677958,8.731434710728806,0.4037238736649225,0.9734242412378221,-11.742790000000001,3361.1086056536606,0.1796485324189064,0.26508855693616734,0.27102738295206447,0.4529478746313929
cfg_151,0.9,0.08,0.35,0.7,0.15,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,568,3359.52486607722,-7.001175822284389,60.56338028169014,3.551858112676056,8.698716532274466,0.4083197905688446,0.995447142956314,-11.572886206896552,3356.0242781660777,0.20422851573001236,0.3086010122659558,0.3162848375736469,0.4601056138148607
cfg_155,0.9,0.05,0.35,0.7,0.15,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,587,3358.5143091415807,-7.029247464128508,60.6473594548552,3.6218151618398626,8.725836205171506,0.41506797476823326,0.9999506584059924,-11.631566666666664,3354.9996854095166,0.1864468036517228,0.3035703764484398,0.3145601051311567,0.4548226788390761
cfg_079,0.9,0.08,0.35,0.65,0.2,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,567,3357.9207435540134,-7.023276993714567,60.84656084656085,3.5497292980599644,8.663685128282134,0.40972510490623254,0.9937782900776112,-11.572886206896552,3354.409105057156,0.20668259136100545,0.3088685206800793,0.3163352653523447,0.46919478281853866
cfg_039,0.9,0.08,0.35,0.6,0.2,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,566,3345.835363533767,-7.081667301232852,61.130742049469966,3.557499314487632,8.673377827857806,0.4101630743055363,0.9922124985735175,-11.572886206896552,3342.2945298831505,0.20329928306026246,0.2956809669089654,0.3116879083162391,0.4566640113343054
cfg_038,0.9,0.08,0.3,0.6,0.2,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,591,3343.5891263762114,-7.205920309850933,60.913705583756354,3.547015404399323,8.67935780734444,0.4086725634698286,0.9756068079011894,-11.742790000000001,3339.986166221286,0.17916631196040336,0.25573610251112944,0.2687827401095282,0.4507559634563791
cfg_094,0.9,0.08,0.3,0.65,0.2,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,588,3335.156570751078,-7.07892457357977,60.37414965986394,3.509848646258503,8.714061301930082,0.402779889267144,0.9690190432978085,-11.742790000000001,3331.6171084642883,0.18193317948615118,0.265475192251592,0.27106135628814315,0.46333263402796
cfg_088,0.9,0.08,0.4,0.65,0.2,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,551,3330.4819267755433,-7.279764156284896,61.34301270417423,3.56850058076225,8.673317379215817,0.411434336452806,1.0044559375771664,-11.510014285714286,3326.842044697401,0.2318515062997884,0.3510843632850059,0.3629469178570296,0.4745359571868386
cfg_156,0.9,0.05,0.4,0.7,0.15,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,568,3316.388876399457,-6.881000789392511,60.2112676056338,3.501018330985915,8.697579587022185,0.4025278867479232,0.9607149139296148,-11.741837931034482,3312.9483760047606,0.21064441748283927,0.34582025574611264,0.3586534559863495,0.4589840499509693
cfg_167,0.9,0.08,0.35,0.7,0.15,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,569,3314.9914882133585,-6.991700026120428,60.45694200351493,3.5723413075571173,8.723486900818743,0.40950841655093617,1.0011877826936393,-11.572886206896552,3311.4956382002983,0.2037784491233024,0.3073013191216839,0.31444269725935187,0.4584387004566756
cfg_062,0.9,0.08,0.3,0.55,0.25,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,591,3291.6240781423326,-7.142163239710242,60.913705583756354,3.5410492453468696,8.679164965571943,0.40799423209413793,0.9739658154822177,-11.742790000000001,3288.0529965224773,0.1814380145380744,0.2559569291956407,0.26929800237338775,0.4610818842639745
cfg_095,0.9,0.08,0.35,0.65,0.2,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,566,3274.9402744714544,-7.013974404933842,60.600706713780916,3.5277007279151937,8.680311820855037,0.4064025349227264,0.9893442846036471,-11.572886206896552,3271.4332872689874,0.20627222416294258,0.30764054919631445,0.3144843918081757,0.46767490430719477
cfg_152,0.9,0.08,0.4,0.7,0.15,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,556,3272.5747950192613,-7.306494129549934,60.79136690647482,3.490307410071942,8.634273525073045,0.4042386889801958,0.9845505352608896,-11.510014285714286,3268.9215479544864,0.22790230195562725,0.3510416681861718,0.3600412889761742,0.4621946936113352
cfg_063,0.9,0.08,0.35,0.55,0.25,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,567,3252.5248518788494,-7.070644570540107,61.37566137566137,3.5923081340387997,8.68923192786184,0.4134206755973608,1.001126000606263,-11.572886206896552,3248.9895295935794,0.20607402907430936,0.29595657252952623,0.31232027564006676,0.466940848423368
